id,Address,Response_Address,Response_X,Response_Y
1,北投子段547地號,找不到指定的門牌地址。,,
2,台北市北投區同德街３８號,臺北市北投區永欣里23鄰同德街38號,303278.556,2779683.981
3,台北市北投區光明路２００號四樓之１７,臺北市北投區長安里21鄰光明路200號,300763.043,2780909.890
4,臺北市北投區泉源路４６號十二樓之１,臺北市北投區中心里20鄰泉源路46號,301304.531,2781457.887
5,台北市北投區天母西路１１７巷５９號四樓之７,臺北市北投區永欣里9鄰天母西路117巷59號,302908.628,2779366.080
6,台北市北投區實踐街２９號四樓,臺北市北投區尊賢里10鄰實踐街29號,301273.635,2778627.004
7,台北市北投區中央南路二段28號8樓之5,臺北市北投區八仙里18鄰中央南路二段28號,300433.429,2779774.163
8,台北市北投區吉利街１２７巷５號四樓之８及之7,臺北市北投區立農里11鄰吉利街127巷5號,301132.810,2779083.162
9,台北市北投區石牌路二段315巷28弄16號2樓,臺北市北投區永欣里1鄰石牌路二段315巷28弄16號,302755.231,2779572.507
10,北投子段142-19地號,找不到指定的門牌地址。,,
11,台北市北投區石牌路一段７１巷１６號４樓,臺北市北投區吉慶里17鄰石牌路一段71巷16號,301551.826,2778548.460
12,台北市北投區北投路二段９號、１１號房屋地下二層,臺北市北投區大同里15鄰北投路二段9號,300313.191,2780326.529
13,台北市北投區文林北路94巷33號7樓之2,臺北市北投區建民里17鄰文林北路94巷33號,302281.431,2777675.032
14,台北市北投區立功街１００號三樓之１,臺北市北投區一德里15鄰立功街100號,297597.354,2779726.213
15,台北市北投區溫泉路34巷21號2樓,臺北市北投區溫泉里7鄰溫泉路34巷21號,300873.123,2780670.416
16,臺北市北投區泉源路４６號十二樓之３,臺北市北投區中心里20鄰泉源路46號,301304.531,2781457.887
17,台北市北投區自強街１２０巷１５弄９號,臺北市北投區石牌里2鄰自強街120巷15弄9號,302070.243,2778124.379
18,台北市北投區榮華一路５巷６號３樓,臺北市北投區榮華里14鄰榮華一路5巷6號,302894.679,2778292.549
19,台北市北投區石牌路2段315巷27號5樓之10,臺北市北投區永欣里15鄰石牌路二段315巷27號,302604.435,2779517.884
20,台北市北投區承德路七段290號二樓,臺北市北投區立賢里10鄰承德路七段290號,300959.837,2778773.912
21,台北市北投區幽雅路７號六樓之６,臺北市北投區林泉里11鄰幽雅路7號,301737.929,2781085.515
22,台北市北投區民族街６８巷４號五樓,臺北市北投區溫泉里14鄰民族街68巷4號,301095.748,2780714.276
23,台北市北投區中央北路四段３５４巷２弄１２號,臺北市北投區一德里8鄰中央北路四段354巷2弄12號,297578.662,2780336.027
24,台北市北投區中央北路四段３７０號３樓,臺北市北投區一德里9鄰中央北路四段370號,297532.190,2780253.835
25,台北市北投區光明路２００號四樓之１９,臺北市北投區長安里21鄰光明路200號,300763.043,2780909.890
26,台北市北投區明德路３３３巷２５號,臺北市北投區振華里16鄰明德路333巷25號,302314.710,2778766.659
27,台北市北投區大業路631號等,臺北市北投區中庸里13鄰大業路631號,300261.487,2781056.756
28,台北市北投區文林北路９４巷３３號３樓之２,臺北市北投區建民里17鄰文林北路94巷33號,302281.431,2777675.032
29,台北市北投區溫泉路６８巷２３弄４號二樓,臺北市北投區溫泉里23鄰溫泉路68巷23弄4號,301053.104,2780814.938
30,北投子段311地號,找不到指定的門牌地址。,,
31,北投子段321地號,找不到指定的門牌地址。,,
32,北投段797地號,找不到指定的門牌地址。,,
33,台北市北投區公館路２３４巷１２號,臺北市北投區奇岩里16鄰公舘路234巷12號,301190.976,2779838.251
34,台北市北投區新民路５１之１２號,臺北市北投區林泉里6鄰新民路51之12號,301476.585,2781437.510
35,台北市北投區翠宜路,臺北市北投區開明里25鄰翠宜路2號;臺北市北投區開明里22鄰翠宜路3號;臺北市北投區開明里25鄰翠宜路4號;臺北市北投區開明里22鄰翠宜路5號;臺北市北投區開明里22鄰翠宜路11號;臺北市北投區開明里26鄰翠宜路12號;臺北市北投區開明里26鄰翠宜路14號;臺北市北投區開明里26鄰翠宜路16號;臺北市北投區開明里26鄰翠宜路18號;臺北市北投區開明里26鄰翠宜路20之1號,300980.916;300958.283;300967.460;300949.668;300949.009;300941.958;300937.369;300932.919;300928.130;300929.619,2781669.804;2781672.211;2781691.731;2781682.293;2781714.057;2781757.861;2781757.321;2781756.796;2781756.231;2781811.413
36,台北市北投區文林北路262號3樓,臺北市北投區文林里2鄰文林北路262號,301772.001,2777956.848
37,台北市北投區奇岩路12號,臺北市北投區溫泉里22鄰奇岩路12號,301141.664,2780636.225
38,台北市北投區奇岩路12之1號,臺北市北投區溫泉里22鄰奇岩路12之1號,301147.679,2780636.853
39,台北市北投區奇岩路12之2號,臺北市北投區溫泉里22鄰奇岩路12之2號,301141.710,2780642.211
40,台北市北投區奇岩路12之9號,臺北市北投區溫泉里22鄰奇岩路12之9號,301156.586,2780660.086
41,台北市北投區奇岩路14之2號2樓,臺北市北投區溫泉里22鄰奇岩路14之2號,301141.824,2780629.838
42,台北市北投區奇岩路12號2樓,臺北市北投區溫泉里22鄰奇岩路12號,301141.664,2780636.225
43,台北市北投區奇岩路12之1號2樓,臺北市北投區溫泉里22鄰奇岩路12之1號,301147.679,2780636.853
44,台北市北投區奇岩路12之2號2樓,臺北市北投區溫泉里22鄰奇岩路12之2號,301141.710,2780642.211
45,台北市北投區奇岩路14號3樓,臺北市北投區溫泉里22鄰奇岩路14號,301143.159,2780616.327
46,台北市北投區奇岩路14之1號3樓,臺北市北投區溫泉里22鄰奇岩路14之1號,301135.423,2780623.896
47,台北市北投區奇岩路12之3號3樓,臺北市北投區溫泉里22鄰奇岩路12之3號,301148.804,2780643.717
48,台北市北投區奇岩路12之6號3樓,臺北市北投區溫泉里22鄰奇岩路12之6號,301149.451,2780651.520
49,台北市北投區奇岩路12之8號3樓,臺北市北投區溫泉里22鄰奇岩路12之8號,301151.847,2780661.615
50,台北市北投區奇岩路12之9號3樓,臺北市北投區溫泉里22鄰奇岩路12之9號,301156.586,2780660.086
51,台北市北投區奇岩路14號4樓,臺北市北投區溫泉里22鄰奇岩路14號,301143.159,2780616.327
52,台北市北投區奇岩路14之2號4樓,臺北市北投區溫泉里22鄰奇岩路14之2號,301141.824,2780629.838
53,台北市北投區奇岩路12之1號4樓,臺北市北投區溫泉里22鄰奇岩路12之1號,301147.679,2780636.853
54,台北市北投區奇岩路12之5號4樓,臺北市北投區溫泉里22鄰奇岩路12之5號,301143.568,2780651.632
55,台北市北投區奇岩路12號5樓,臺北市北投區溫泉里22鄰奇岩路12號,301141.664,2780636.225
56,台北市北投區奇岩路12之1號5樓,臺北市北投區溫泉里22鄰奇岩路12之1號,301147.679,2780636.853
57,台北市北投區奇岩路12之2號3樓,臺北市北投區溫泉里22鄰奇岩路12之2號,301141.710,2780642.211
58,台北市北投區中央北路一段１１３號四樓,臺北市北投區大同里6鄰中央北路一段113號,300343.863,2780806.923
59,台北市北投區建民路161之8號3樓,臺北市北投區裕民里3鄰建民路161之8號,302407.231,2778217.475
60,台北市北投區建民路162巷5號3樓,臺北市北投區裕民里5鄰建民路162巷5號,302455.266,2778158.404
61,台北市北投區奇岩路14之1號2樓,臺北市北投區溫泉里22鄰奇岩路14之1號,301135.423,2780623.896
62,台北市北投區奇岩路12之5號3樓,臺北市北投區溫泉里22鄰奇岩路12之5號,301143.568,2780651.632
63,台北市北投區奇岩路12號4樓,臺北市北投區溫泉里22鄰奇岩路12號,301141.664,2780636.225
64,台北市北投區奇岩路14號5樓,臺北市北投區溫泉里22鄰奇岩路14號,301143.159,2780616.327
65,台北市北投區奇岩路12之7號,臺北市北投區溫泉里22鄰奇岩路12之7號,301144.878,2780662.865
66,台北市北投區奇岩路12之8號,臺北市北投區溫泉里22鄰奇岩路12之8號,301151.847,2780661.615
67,台北市北投區奇岩路14號之1,臺北市北投區溫泉里22鄰奇岩路14之1號,301135.423,2780623.896
68,台北市北投區奇岩路12之6號2樓,臺北市北投區溫泉里22鄰奇岩路12之6號,301149.451,2780651.520
69,台北市北投區奇岩路14之1號4樓,臺北市北投區溫泉里22鄰奇岩路14之1號,301135.423,2780623.896
70,台北市北投區奇岩路12之2號4樓,臺北市北投區溫泉里22鄰奇岩路12之2號,301141.710,2780642.211
71,台北市北投區崗山路８巷７號１１樓之１,臺北市北投區稻香里4鄰崗山路8巷7號,299096.979,2781464.225
72,台北市北投區行義路１８６巷２６弄８號３樓,臺北市北投區永和里13鄰行義路186巷26弄8號,303396.737,2780523.245
73,台北市北投區同德街2號2樓之1,臺北市北投區永欣里19鄰同德街2號,303150.941,2779714.949
74,台北市北投區榮華一路3巷2號3樓,臺北市北投區榮華里14鄰榮華一路3巷2號,302896.705,2778334.666
75,台北市北投區明德路219號三樓,臺北市北投區振華里12鄰明德路219號,302608.805,2778359.643
76,台北市北投區中央北路三段４０巷３４弄１８號１０樓,臺北市北投區桃源里1鄰中央北路三段40巷34弄18號,299023.675,2781343.517
77,台北市北投區大屯路２１巷５之１號５樓,臺北市北投區中和里12鄰大屯路21巷5之1號,300397.314,2781734.220
78,台北市北投區光明路２２０號五樓,臺北市北投區長安里17鄰光明路220號,300870.944,2780963.146
79,台北市北投區建民路129巷1號,臺北市北投區石牌里7鄰建民路129巷1號,302202.271,2778059.855
80,台北市北投區泉源路３６之２２號二樓之8,臺北市北投區中心里8鄰泉源路36之22號,301122.593,2781476.977
81,台北市北投區中和街234巷16號,臺北市北投區開明里10鄰中和街234巷16號,300633.559,2781358.529
82,台北市北投區大同街２１６號２樓,臺北市北投區中庸里6鄰大同街216號,300345.651,2781264.308
83,台北市北投區立功街１５３號二樓,臺北市北投區一德里15鄰立功街153號,297710.469,2779757.794
84,台北市北投區立功街１５１號二樓,臺北市北投區一德里15鄰立功街151號,297698.201,2779758.128
85,台北市北投區稻香路１４０之９號,臺北市北投區稻香里13鄰稻香路140之9號,299340.995,2781722.279
86,台北市北投區中央北路三段４０巷３４弄１８號５樓之１,臺北市北投區桃源里1鄰中央北路三段40巷34弄18號,299023.675,2781343.517
87,台北市北投區知行路10巷2號,臺北市北投區關渡里13鄰知行路10號;臺北市北投區關渡里14鄰知行路1巷10號;臺北市北投區關渡里14鄰知行路3巷10號;臺北市北投區關渡里15鄰知行路5巷10號;臺北市北投區關渡里11鄰知行路77巷10號;臺北市北投區關渡里16鄰知行路202巷10號;臺北市北投區關渡里16鄰知行路210巷10號;臺北市北投區關渡里17鄰知行路260巷10號;臺北市北投區關渡里21鄰知行路316巷10號;臺北市北投區關渡里2鄰知行路293巷10號,296973.456;296962.854;296995.905;297034.810;297211.098;297088.420;297116.069;297146.478;297164.732;297072.267,2778923.361;2778943.421;2778971.955;2778966.524;2779022.163;2779053.614;2779091.620;2779245.384;2779420.983;2779374.038
88,台北市北投區磺港路１５８號３樓,臺北市北投區清江里13鄰磺港路158號,300719.598,2780110.683
89,台北市北投區泉源路４９之１０號六樓,臺北市北投區中心里21鄰泉源路49之10號,301546.506,2781542.296
90,台北市北投區泉源路49之11號六樓,臺北市北投區中心里21鄰泉源路49之11號,301540.685,2781541.767
91,台北市北投區天母北路１０５巷１５弄１號地下１層,臺北市北投區永欣里20鄰天母北路105巷15弄1號,303188.619,2779625.781
92,台北市北投區稻香路２９之3號地下,臺北市北投區稻香里2鄰稻香路29之3號,299443.663,2781280.041
93,台北市北投區尊賢街３０２巷２４號,臺北市北投區尊賢里13鄰尊賢街302巷24號,301235.539,2778950.893
94,台北市北投區石牌路二段３１５巷３４弄２７之１號,臺北市北投區永欣里16鄰石牌路二段315巷34弄27之1號,302841.635,2779560.972
95,台北市北投區自強街５巷１５３號六樓之７,臺北市北投區福興里4鄰自強街5巷153號,301493.734,2778344.546
96,台北市北投區懷德街７５巷８之３號三樓,臺北市北投區裕民里17鄰懷德街75巷8之3號,302362.110,2778506.432
97,臺北市北投區中央北路四段５１５巷４２號五樓,臺北市北投區一德里23鄰中央北路四段515巷42號,297310.661,2779859.873
98,台北市北投區光明路242號3樓之16,臺北市北投區溫泉里11鄰光明路242號,301221.712,2780950.475
99,台北市北投區西安街二段267號4樓之5,臺北市北投區立農里9鄰西安街二段267號,301128.824,2779210.052
100,台北市北投區吉利街１０１之８號四樓,臺北市北投區立農里22鄰吉利街101之8號,301028.157,2779041.362
101,台北市北投區溫泉路139號7樓之38,臺北市北投區林泉里10鄰溫泉路139號,301665.094,2781407.223
102,台北市北投區行義路５２號六樓,臺北市北投區永和里4鄰行義路52號,303222.923,2779817.135
103,台北市北投區新民路５３之１號八樓之２,臺北市北投區林泉里6鄰新民路53之1號,301470.750,2781405.284
104,北投子段71-2地號,找不到指定的門牌地址。,,
105,台北市北投區中山路４７號四樓之５,臺北市北投區林泉里5鄰中山路47號,301584.647,2781236.629
106,台北市北投區石牌路二段３１５巷２８弄１６號三樓之１,臺北市北投區永欣里1鄰石牌路二段315巷28弄16號,302755.231,2779572.507
107,台北市北投區知行路214巷29號八樓,臺北市北投區關渡里6鄰知行路214巷29號,297234.690,2779210.552
108,台北市北投區中央北路2段131巷3弄2號2樓,臺北市北投區豐年里5鄰中央北路二段131巷3弄2號,299816.253,2781045.771
109,台北市北投區大業路280巷35弄16號地下,臺北市北投區中央里25鄰大業路280巷35弄16號,300408.113,2780066.512
110,台北市北投區知行路214巷13、15、17號門牌房屋地下一層,臺北市北投區關渡里6鄰知行路214巷33號,297224.370,2779193.618
111,台北市北投區榮華一路６巷６號五樓,臺北市北投區榮華里20鄰榮華一路6巷6號,302816.592,2778296.159
112,台北市北投區光明路１８５號十二樓之２,臺北市北投區長安里11鄰光明路185號,300749.766,2780932.373
113,台北市北投區公館路６５號５樓,臺北市北投區溫泉里5鄰公舘路65號,300817.713,2780533.231
114,北投埔段復興小段139地號,找不到指定的門牌地址。,,
115,台北市北投區新民路１巷８號六樓之１０,臺北市北投區中心里19鄰新民路1巷8號,301172.327,2781530.569
116,台北市北投區北投鎮光明里溫泉路２５號,找不到指定的門牌地址。,,
117,台北市北投區大度路三段189號5樓,臺北市北投區關渡里28鄰大度路三段189號,297311.397,2779452.393
118,台北市北投區中和街507巷6弄5之1號3樓,臺北市北投區智仁里19鄰中和街507巷6弄5之1號,299783.960,2781884.702
119,台北市北投區中央北路四段１３４號五樓,臺北市北投區一德里4鄰中央北路四段134號,298009.788,2780675.770
120,台北市北投區立農街2段202巷5弄5號4樓,臺北市北投區永明里10鄰立農街二段202巷5弄5號,301855.103,2778953.416
121,台北市北投區知行路214巷31號四樓,臺北市北投區關渡里6鄰知行路214巷31號,297234.954,2779194.149
122,台北市北投區知行路293巷16號6樓之8,臺北市北投區關渡里2鄰知行路293巷16號,297044.541,2779390.656
123,台北市北投區文林北路８０巷９０弄６５號三樓,臺北市北投區建民里6鄰文林北路80巷90弄65號,302427.695,2777598.953
124,台北市北投區清江路１９３號四樓,臺北市北投區清江里16鄰清江路193號,300614.346,2780007.120
125,台北市北投區文化三路１４２號七樓,臺北市北投區文化里9鄰文化三路142號,300267.436,2781361.848
126,台北市北投區大屯路91巷20號,臺北市北投區中和里16鄰大屯路91巷20號,300460.484,2781906.220
127,台北市北投區中和街２０巷２號五樓之３,臺北市北投區中心里3鄰中和街20巷2號,300752.788,2781132.296
128,台北市北投區溫泉路１３２之８號,臺北市北投區林泉里13鄰溫泉路132之8號,301668.831,2781030.362
129,台北市北投區溫泉路１４３之１２號４樓,臺北市北投區林泉里10鄰溫泉路143之12號,301693.907,2781437.259
130,台北市北投區明德路２７６號八樓,臺北市北投區榮華里5鄰明德路276號,302694.316,2778588.510
131,台北市北投區大同街208巷5號3樓,臺北市北投區中庸里11鄰大同街208巷5號,300385.804,2781214.838
132,台北市北投區光明路168號8樓之2,臺北市北投區長安里15鄰光明路168號,300708.813,2780860.648
133,台北市北投區中央北路四段５３２號十一樓之１,臺北市北投區一德里14鄰中央北路四段532號,297181.268,2780079.409
134,台北市北投區大度路三段３０１巷１２８弄２之１號３樓,臺北市北投區關渡里5鄰大度路三段301巷128弄2之1號,296941.804,2779154.767
135,台北市北投區大興街２４巷１弄８號３樓,臺北市北投區中央里7鄰大興街24巷1弄8號,300321.042,2780235.450
136,台北市北投區自強街１８０巷２號五樓,臺北市北投區石牌里1鄰自強街180巷2號,302183.056,2778161.680
137,台北市北投區致遠一路2段2號5樓之1,臺北市北投區榮光里3鄰致遠一路二段2號,301909.190,2778141.938
138,台北市北投區東華街二段６６號二樓,臺北市北投區永明里11鄰東華街二段66號,301852.732,2778840.821
139,台北市北投區大度路三段２７０巷６９號十四樓之７,臺北市北投區一德里23鄰大度路三段270巷69號,297109.739,2779708.424
140,台北市北投區珠海路１１３巷１６號二樓,臺北市北投區開明里24鄰珠海路113巷16號,300849.924,2781635.120
141,台北市北投區泉源路３４號四樓之３,臺北市北投區中心里8鄰泉源路34號,301101.599,2781415.423
142,台北市北投區天母西路１１７巷５９號三樓之７,臺北市北投區永欣里9鄰天母西路117巷59號,302908.628,2779366.080
143,台北市北投區知行路214巷31號七樓,臺北市北投區關渡里6鄰知行路214巷31號,297234.954,2779194.149
144,台北市北投區公館路131號,臺北市北投區奇岩里2鄰公舘路131號,300947.537,2780236.737
145,台北市北投區溫泉路７３巷６號１１樓之２,臺北市北投區溫泉里12鄰溫泉路73巷6號,301034.026,2780890.438
146,台北市北投區長壽路２９巷１１號五樓,臺北市北投區開明里24鄰長壽路29巷11號,300768.945,2781647.523
147,台北市北投區新民路１７號三樓之２,臺北市北投區中心里3鄰新民路17號,301094.825,2781330.933
148,台北市北投區承德路七段280巷41號四樓,臺北市北投區立賢里12鄰承德路七段280巷41號,301133.196,2778806.977
149,台北市北投區公?路２０９巷３６弄１３號二樓,找不到指定的門牌地址。,,
150,北投段1802地號,找不到指定的門牌地址。,,
151,台北市北投區大業路１５６號５樓,臺北市北投區八仙里5鄰大業路156號,300334.958,2779690.947
152,台北市北投區泉源路華南巷２０號地下室之２,臺北市北投區中心里8鄰泉源路華南巷20號,301115.458,2781409.731
153,台北市北投區大屯路２１巷５號３樓,臺北市北投區中和里12鄰大屯路21巷5號,300400.259,2781724.012
154,台北市北投區溫泉路７３巷３號,臺北市北投區長安里19鄰溫泉路73巷3號,300944.233,2780901.220
155,台北市北投區中山北路七段２１９巷３弄２８０號二樓之２,臺北市北投區永和里24鄰中山北路七段219巷3弄280號,303507.548,2780610.227
156,台北市北投區大度路三段２７０巷６７號三樓之１,臺北市北投區一德里23鄰大度路三段270巷67號,297126.674,2779737.421
157,台北市北投區懷德街46號7樓,臺北市北投區振華里21鄰懷德街46號,302405.386,2778339.169
158,台北市北投區新民路５３之１號６樓之５,臺北市北投區林泉里6鄰新民路53之1號,301470.750,2781405.284
159,台北市北投區石牌路一段５８巷２０號,臺北市北投區福興里15鄰石牌路一段58巷20號,301590.439,2778357.139
160,北投子段392-2地號,找不到指定的門牌地址。,,
161,台北市北投區大屯路９１巷１弄１２號,臺北市北投區中和里16鄰大屯路91巷1弄12號,300442.705,2781904.478
162,台北市北投區懷德街１１巷１弄１７號三樓,臺北市北投區裕民里12鄰懷德街11巷1弄17號,302294.886,2778200.095
163,台北市北投區中和街20巷2號11樓之6,臺北市北投區中心里3鄰中和街20巷2號,300752.788,2781132.296
164,台北市北投區天母北路105巷15弄1號地下一層之8及公設,臺北市北投區永欣里20鄰天母北路105巷15弄1號,303188.619,2779625.781
165,台北市北投區新民路53之1號7樓之1,臺北市北投區林泉里6鄰新民路53之1號,301470.750,2781405.284
166,台北市北投區中山路47號5樓之3,臺北市北投區林泉里5鄰中山路47號,301584.647,2781236.629
167,台北市北投區中和街３１０號５樓,臺北市北投區開明里6鄰中和街310號,300407.809,2781477.697
168,台北市北投區中央北路四段１６６號４樓,臺北市北投區一德里5鄰中央北路四段166號,297931.716,2780605.521
169,台北市北投區溫泉路３２號８樓,臺北市北投區溫泉里3鄰溫泉路32號,300815.836,2780685.983
170,台北市北投區溫泉路３７巷２６號五樓之１０,臺北市北投區長安里20鄰溫泉路37巷26號,300697.978,2780809.659
171,台北市北投區中央南路二段１１５號地下一層,臺北市北投區八仙里6鄰中央南路二段115號,300452.413,2779372.583
172,台北市北投區中和街502巷1弄12號,臺北市北投區秀山里7鄰中和街502巷1弄12號,299803.314,2782006.392
173,台北市北投區溫泉路１３９號二樓之１０,臺北市北投區林泉里10鄰溫泉路139號,301665.094,2781407.223
174,北投段665地號,找不到指定的門牌地址。,,
175,臺北市北投區石牌路二段３１５巷３７號五樓,臺北市北投區永欣里15鄰石牌路二段315巷37號,302647.492,2779626.998
176,臺北市北投區石牌路二段３１５巷３９號五樓,臺北市北投區永欣里15鄰石牌路二段315巷39號,302644.316,2779637.848
177,臺北市北投區石牌路二段３１５巷３７號四樓,臺北市北投區永欣里15鄰石牌路二段315巷37號,302647.492,2779626.998
178,台北市北投區中和街２０巷２號六樓之５,臺北市北投區中心里3鄰中和街20巷2號,300752.788,2781132.296
179,台北市北投區石牌路一段１６６巷３１弄８之１號２樓,臺北市北投區榮光里22鄰石牌路一段166巷31弄8之1號,301901.837,2778500.010
180,台北市北投區大業路３００巷３３之１號,臺北市北投區中央里28鄰大業路300巷33之1號,300367.109,2780119.538
181,台北市北投區稻香路１３５巷１４號２樓,臺北市北投區稻香里11鄰稻香路135巷14號,299353.488,2781618.253
182,台北市北投區中央北路三段４０巷１９弄１１號十樓,臺北市北投區桃源里8鄰中央北路三段40巷19弄11號,298890.478,2781212.534
183,台北市北投區石牌路二段３３５號三樓,臺北市北投區永欣里17鄰石牌路二段335號,302883.163,2779482.347
184,臺北市北投區吉利街１４９巷９號三樓,臺北市北投區立農里8鄰吉利街149巷9號,301185.353,2779061.850
185,台北市北投區大度路3段301巷30號4樓,臺北市北投區關渡里2鄰大度路三段301巷30號,296994.592,2779393.958
186,台北市北投區中央北路三段１１８巷１７號五樓,臺北市北投區桃源里10鄰中央北路三段118巷17號,298710.664,2781195.052
187,台北市北投區天母北路１０５巷１５弄１號五樓之７,臺北市北投區永欣里20鄰天母北路105巷15弄1號,303188.619,2779625.781
188,台北市北投區大度路三段２７０巷６９號十九樓之２,臺北市北投區一德里23鄰大度路三段270巷69號,297109.739,2779708.424
189,台北市北投區大度路三段２７０巷６９號二樓,臺北市北投區一德里23鄰大度路三段270巷69號,297109.739,2779708.424
190,台北市北投區中央北路四段18巷46弄27號,臺北市北投區一德里1鄰中央北路四段18巷46弄27號,298337.745,2780996.683
191,臺北市北投區文林北路３０２號十八樓,臺北市北投區福興里8鄰文林北路302號,301591.902,2778157.109
192,臺北市北投區文林北路３０２號十八樓之１,臺北市北投區福興里8鄰文林北路302號,301591.902,2778157.109
193,北投段1199地號,找不到指定的門牌地址。,,
194,台北市北投區公館路２５７巷９號,臺北市北投區奇岩里13鄰公舘路257巷9號,301300.815,2779727.247
195,台北市北投區中央北路三段１１８巷１９號三樓,臺北市北投區桃源里10鄰中央北路三段118巷19號,298720.007,2781204.810
196,台北市北投區中央北路三段１１８巷１７號二樓,臺北市北投區桃源里10鄰中央北路三段118巷17號,298710.664,2781195.052
197,台北市北投區致遠二路６１巷１４號,臺北市北投區吉慶里18鄰致遠二路61巷14號,301543.083,2778612.490
198,台北市北投區中正街49巷16號6樓之3,臺北市北投區中央里12鄰中正街49巷16號,300398.696,2780481.304
199,台北市北投區公館路２３１巷１７之２號,臺北市北投區奇岩里27鄰公舘路231巷17之2號,301317.806,2779933.194
200,臺北市北投區石牌路二段３１５巷３９號八樓,臺北市北投區永欣里15鄰石牌路二段315巷39號,302644.316,2779637.848
201,台北市北投區杏林二路４之１號四樓,臺北市北投區智仁里7鄰杏林二路4之1號,300304.673,2781494.821
202,台北市北投區溫泉路139號五樓 之29,臺北市北投區林泉里10鄰溫泉路139號,301665.094,2781407.223
203,台北市北投區自強街１２５號二樓之１７,臺北市北投區榮光里3鄰自強街125號,302009.064,2778175.748
204,台北市北投區自強街１１１巷４號,臺北市北投區榮光里3鄰自強街111巷4號,301973.726,2778176.487
205,台北市北投區致遠一路一段４７巷１號二樓,臺北市北投區文林里16鄰致遠一路一段47巷1號,302031.208,2777862.921
206,台北市北投區西安街一段３６７號三樓之２,臺北市北投區榮光里21鄰西安街一段367號,301944.715,2778568.247
207,台北市北投區中華街１２號２樓,臺北市北投區開明里18鄰中華街12號,300615.776,2781578.825
208,台北市北投區溫泉路37巷26號9樓之10,臺北市北投區長安里20鄰溫泉路37巷26號,300697.978,2780809.659
